All,සියලුම
"Discard Rate","ඉවතලන අනුපාතය"
"Accepted and Purchased","පිළිගෙන මිල දී ගෙන ඇත"
"Conversion Rate","පරිවර්තන අනුපාතය"
Invitation,ආරාධනය
"Filterable (with results)","පෙරිය හැකි (ප්‍රතිඵල සහිත)"
"Filterable (no results)","පෙරිය හැකි (ප්‍රතිඵල නැත)"
"Use in Layered Navigation","Layered Navigation හි භාවිතා කරන්න"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","නාමාවලි ආදාන වර්ගය ඔව්/නැත, පතන, බහු තේරීම සහ මිල සමඟ පමණක් භාවිතා කළ හැක"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","නාමාවලි ආදාන වර්ගය ඔව්/නැත, පතන, බහු තේරීම සහ මිල සමඟ පමණක් භාවිතා කළ හැක.
                    <br>මිල <b>'පෙරහන (ප්‍රතිඵල නැත)'</b> විකල්පය සමඟ නොගැළපේ - 
                     එය මිල පෙරහනට කිසිදු බලපෑමක් නොකරනු ඇත."
"Use in Search Results Layered Navigation","සෙවුම් ප්‍රතිඵල ස්ථර සංචාලනය තුළ භාවිත කරන්න"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","නාමාවලි ආදාන වර්ගය ඔව්/නැත, පතන, බහු තේරීම සහ මිල සමඟ පමණක් භාවිතා කළ හැක."
"Position in Layered Navigation","Layered Navigation හි පිහිටීම"
"Position of attribute in layered navigation block.","ස්ථර සංචාලන කොටසෙහි ගුණාංගයේ පිහිටීම."
item,අයිතමය
items,අයිතම
"Now Shopping by","දැන් Shopping by"
"Layered Navigation","ස්ථර සංචාලනය"
"Display Product Count","නිෂ්පාදන ගණන පෙන්වන්න"
"Price Navigation Step Calculation","මිල සංචාලන පියවර ගණනය කිරීම"
"Default Price Navigation Step","පෙරනිමි මිල සංචාලන පියවර"
"Maximum Number of Price Intervals","උපරිම මිල කාල පරතරයන් ගණන"
"Maximum number of price intervals is 100","උපරිම මිල පරතරයන් 100 කි"
"Display Price Interval as One Price","මිල පරතරය එක් මිලක් ලෙස පෙන්වන්න"
"This setting will be applied when all prices in the specific price interval are equal.","නිශ්චිත මිල පරතරයේ සියලුම මිල සමාන වන විට මෙම සැකසුම යෙදේ."
"Interval Division Limit","අන්තරාල අංශ සීමාව"
"Please specify the number of products, that will not be divided into subintervals.","කරුණාකර නිෂ්පාදන සංඛ්‍යාව සඳහන් කරන්න, ඒවා අතුරු කාලවලට බෙදෙන්නේ නැත."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","නාමාවලි ආදාන වර්ගය Yes/No (Boolean), Dropdown, Multiple Select සහ Price සමඟ පමණක් භාවිතා කළ හැක."
"Admin Actions Log Archive","පරිපාලක ක්‍රියා ලොග් සංරක්ෂිතය"
"Log Entry #%1","ලොග් ඇතුල්වීම #%1"
"Log Entry Details","ලොග් ඇතුළත් කිරීමේ විස්තර"
"Source Data","මූලාශ්ර දත්ත"
"Value Before Change","වෙනස් වීමට පෙර වටිනාකම"
"Value After Change","වෙනස් කිරීමෙන් පසු අගය"
"No changes","කිසිදු වෙනසක්"
"The item was deleted","අයිතමය මකා දමන ලදී"
"All Users","සියලුම පරිශීලකයින්"
"Admin Actions Log","පරිපාලක ක්‍රියා ලොගය"
"Admin Actions Archive","පරිපාලක ක්‍රියා ලේඛනාගාරය"
"actions' 'label","ක්රියා"" ලේබලය"
"%1 & applied","%1 සහ යොදන ලදී"
"Tax Rates Import","බදු අනුපාත ආනයනය"
"Attributes Updated","ගුණාංග යාවත්කාලීන කරන ලදී"
"Currency Rates Saved","මුදල් අනුපාත ඉතිරි කර ඇත"
"Cache types: %1 ","හැඹිලි වර්ග: %1 "
"Tax Rates Export","බදු අනුපාත අපනයනය"
"Unknown callback function: %1::%2","නොදන්නා ආපසු කැඳවීමේ කාර්යය: %1::%2"
"More permissions are needed to access this.","මෙයට ප්‍රවේශ වීමට තවත් අවසර අවශ්‍ය වේ."
Success,සාර්ථකත්වය
Failure,"අසාර්ථක වීම"
Daily,දිනපතා
Weekly,සතිපතා
Monthly,මාසික
"This user is locked","මෙම පරිශීලකයා අගුලු දමා ඇත"
"Admin User Data","පරිපාලක පරිශීලක දත්ත"
"Aggregated Information","එකතු කළ තොරතුරු"
"Admin User ID","පරිපාලක පරිශීලක හැඳුනුම්පත"
"Admin User Name","පරිපාලක පරිශීලක නාමය"
IP-Address,"IP ලිපිනය"
"Error Message","දෝෂ පණිවිඩය"
"Related Changes","අදාළ වෙනස්කම්"
Logging,"ලොග් කිරීම"
Archive,සංරක්ෂිතය
"Admin Actions Log Archiving","පරිපාලක ක්‍රියා ලොග් සංරක්ෂණය"
"Log Entry Lifetime, Days","ලොග් ඇතුල්වීමේ ආයු කාලය, දින"
"Log Archiving Frequency","ලොග් සංරක්ෂිත සංඛ්‍යාතය"
"Admin Actions Logging","පරිපාලක ක්රියා ලොග් කිරීම"
"Enabled Actions","සබල කළ ක්‍රියා"
"Mass Delete","මහා මකන්න"
Move,"චලනය කරන්න"
"Forgot Password","මුරපදය අමතක වුණා ද"
Reorder,"නැවත ඇණවුම් කරන්න"
Print,"මුද්‍රණය කරන්න"
Run,දුවන්න
"Reindex Process","Reindex ක්රියාවලිය"
Clean,පිරිසිදුයි
Flush,"ෆ්ලෂ් කරන්න"
Fetch,"ගෙන්වා ගන්න"
"Update Payment","ගෙවීම යාවත්කාලීන කරන්න"
"Update State","තත්වය යාවත්කාලීන කරන්න"
Send,යවන්න
Create,"නිර්මාණය කරන්න"
"Catalog Products","නාමාවලි නිෂ්පාදන"
"Catalog Categories","නාමාවලි කාණ්ඩ"
"URL Rewrites","URL නැවත ලියයි"
"Catalog Ratings","නාමාවලි ශ්‍රේණිගත කිරීම්"
"Catalog Reviews","නාමාවලි සමාලෝචන"
"Catalog Attributes","නාමාවලි ගුණාංග"
"Catalog Product Templates","නාමාවලි නිෂ්පාදන සැකිලි"
"Admin Sign In","පරිපාලක පුරනය වන්න"
"System Configuration","පද්ධති වින්‍යාසය"
"Cart Price Rules","කරත්ත මිල නීති"
"Admin My Account","මගේ ගිණුම පරිපාලක"
"Newsletter Queue","ප්‍රවෘත්ති පත්‍ර පෝලිම"
"Newsletter Templates","පුවත් පත්ර ආකෘති"
"Newsletter Subscribers","පුවත් පත්‍රිකා ග්‍රාහකයින්"
"Sales Orders","විකුණුම් ඇණවුම්"
"Sales Order Status","විකුණුම් ඇණවුම් තත්ත්වය"
"Sales Invoices","විකුණුම් ඉන්වොයිසි"
"Sales Shipments","විකුණුම් නැව්ගත කිරීම්"
"Sales Credit Memos","විකුණුම් ණය මතක සටහන්"
"Admin Permission Roles","පරිපාලක අවසර භූමිකාවන්"
"Admin Permission Users","පරිපාලක අවසර භාවිතා කරන්නන්"
"Manage Websites","වෙබ් අඩවි කළමනාකරණය කරන්න"
"Manage Store Views","ගබඩා දර්ශන කළමනාකරණය කරන්න"
"Manage Design","නිර්මාණය කළමනාකරණය කරන්න"
"Manage Currency Rates","මුදල් අනුපාත කළමනාකරණය කරන්න"
"Custom Variables","අභිරුචි විචල්යයන්"
"System Backups","පද්ධති උපස්ථ"
"Customer Tax Classes","පාරිභෝගික බදු පන්ති"
"Catalog Product Tax Classes","නාමාවලිය නිෂ්පාදන බදු පන්ති"
"Tax Rules","බදු නීති"
"Tax Rates","බදු අනුපාත"
"XML Sitemap","XML අඩවි සිතියම"
Widget,විජට්
"PayPal Settlement Reports","PayPal බේරුම්කරණ වාර්තා"
"Index Management","දර්ශක කළමනාකරණය"
"Design Configuration","සැලසුම් වින්යාසය"
"Archive File","ගොනුව සංරක්ෂණය කරන්න"
"Action Group","ක්රියාකාරී කණ්ඩායම"
"IP Address","IP ලිපිනය"
Result,ප්රතිඵලය
"Full Action Name","සම්පූර්ණ ක්‍රියා නාමය"
"Full Details","සම්පූර්ණ විස්තර"
Partners,හවුල්කරුවන්
"Magento Marketplace","Magento වෙළඳපොළ"
"Platinum Partners","ප්ලැටිනම් හවුල්කරුවන්"
"Representing Magento's highest level of partner engagement, Magento Platinum Partners have established themselves as leaders and innovators of key products and services designed to help merchants and brands grow their business. Magento reserves the Platinum level for select trusted partners that are committed to offering integrations of commerce features, functions, and tools, as well as back-end systems and operations, to extend and enhance the power of the Magento commerce platform.","Magento හි ඉහළම මට්ටමේ හවුල්කාරිත්වය නියෝජනය කරමින්, Magento Platinum හවුල්කරුවන් වෙළඳුන්ට සහ වෙළඳ නාමවලට ඔවුන්ගේ ව්‍යාපාරය වර්ධනය කිරීමට උපකාර කිරීම සඳහා නිර්මාණය කර ඇති ප්‍රධාන නිෂ්පාදන සහ සේවාවන්හි නායකයින් සහ නවෝත්පාදකයින් ලෙස ස්ථාපිත වී ඇත. Magento වාණිජ වේදිකාවේ බලය දිගු කිරීමට සහ වැඩි දියුණු කිරීමට වාණිජ විශේෂාංග, කාර්යයන් සහ මෙවලම් මෙන්ම පසු-අන්ත පද්ධති සහ මෙහෙයුම් ඒකාබද්ධ කිරීම් පිරිනැමීමට කැපවී සිටින තෝරාගත් විශ්වාසදායක හවුල්කරුවන් සඳහා Magento ප්ලැටිනම් මට්ටම වෙන් කරයි."
"Featured Platinum Partners","විශේෂාංගගත ප්ලැටිනම් හවුල්කරුවන්"
"Partner search","හවුල්කරු සෙවීම"
"Magento has a thriving ecosystem of technology partners to help merchants and brands deliver the best possible customer experiences. They are recognized as experts in eCommerce, search, email marketing, payments, tax, fraud, optimization and analytics, fulfillment, and more. Visit the Magento Partner Directory to see all of our trusted partners.","Magento සතුව වෙළඳුන්ට සහ වෙළඳ නාමවලට හැකි උපරිම පාරිභෝගික අත්දැකීම් ලබා දීමට උපකාර කිරීම සඳහා තාක්ෂණික හවුල්කරුවන්ගේ දියුණු පරිසර පද්ධතියක් ඇත. ඔවුන් ඊ-වාණිජ්‍යය, සෙවීම්, විද්‍යුත් තැපැල් අලෙවිකරණය, ගෙවීම්, බදු, වංචා, ප්‍රශස්තකරණය සහ විශ්ලේෂණ, සපුරාලීම සහ තවත් බොහෝ දේ පිළිබඳ විශේෂඥයන් ලෙස පිළිගැනේ. අපගේ සියලු විශ්වාසවන්ත හවුල්කරුවන් බැලීමට Magento හවුල්කාර නාමාවලිය වෙත පිවිසෙන්න."
"More Partners","තවත් හවුල්කරුවන්"
"Extensions and Themes are an essential component of the Magento Ecosystem. Please visit the Magento Marketplace to see the latest innovations that developers have created to enhance your Magento Store.","දිගු සහ තේමා Magento පරිසර පද්ධතියේ අත්‍යවශ්‍ය අංගයකි. ඔබේ Magento වෙළඳසැල වැඩිදියුණු කිරීමට සංවර්ධකයින් විසින් නිර්මාණය කර ඇති නවතම නවෝත්පාදනයන් බැලීමට කරුණාකර Magento Marketplace වෙත පිවිසෙන්න."
"Visit Magento Marketplaces","Magento Marketplaces වෙත පිවිසෙන්න"
"Read More","වැඩිදුර කියවන්න"
"Partner Page","හවුල්කාර පිටුව"
"No partners were found","හවුල්කරුවන් හමු නොවීය"
"Find Partners & Extensions","හවුල්කරුවන් සහ දිගු සොයන්න"
Wishlist,"පැතුම් ලැයිස්තුව"
"Customer's Wish List Report","පාරිභෝගික කැමැත්ත ලැයිස්තු වාර්තාව"
"My Wish Lists","මගේ පැතුම් ලැයිස්තු"
"1 item in wish list","පැතුම් ලැයිස්තුවේ අයිතම 1ක්"
"%1 items in wish list","පැතුම් ලැයිස්තුවේ අයිතම %1 ක්"
"Wish List Search","කැමති ලැයිස්තු සෙවීම"
"Customer Wish List Report","පාරිභෝගික කැමැත්ත ලැයිස්තු වාර්තාව"
"Wish list ""%1"" was saved.","පැතුම් ලැයිස්තුව ""%1"" සුරකින ලදී."
"We can't create the wish list right now.","අපට දැන් පැතුම් ලැයිස්තුව සෑදිය නොහැක."
"""%1"" was copied to %2.","""%1"" %2වෙත පිටපත් කරන ලදී."
"We can't find the item.","අපට අයිතමය සොයාගත නොහැක."
"""%1"" is already present in %2.","""%1"" දැනටමත් %2හි ඇත."
"We can't copy ""%1"".","අපට ""%1"" පිටපත් කළ නොහැක."
"We can't copy the wish list item.","අපට කැමති ලැයිස්තුවේ අයිතමය පිටපත් කළ නොහැක."
"We can't find %1 items.","අපට අයිතම %1 ක් සොයාගත නොහැක."
"We can't copy %1 items.","අපට අයිතම %1 ක් පිටපත් කළ නොහැක."
"%1 items are already present in %2: %3.","අයිතම %1 ක් දැනටමත් %2: %3හි ඇත."
"%1 items were copied to %2: %3.","අයිතම %1 ක් %2: %3ට පිටපත් කරන ලදී."
"The default wish list can't be deleted.","පෙරනිමි පැතුම් ලැයිස්තුව මකා දැමිය නොහැක."
"Wish List ""%1"" has been deleted.","පැතුම් ලැයිස්තුව ""%1"" මකා ඇත."
"We can't delete the wish list right now.","අපට දැන් පැතුම් ලැයිස්තුව මකා දැමිය නොහැක."
"Could not create a wish list.","පැතුම් ලැයිස්තුවක් සෑදීමට නොහැකි විය."
"""%1"" was moved to %2.","""%1"" %2වෙත ගෙන යන ලදී."
"We can't find an item with this ID.","අපට මෙම හැඳුනුම්පත සහිත අයිතමයක් සොයාගත නොහැක."
"We cannot move ""%1"".","අපට ""%1"" ගෙන යා නොහැක."
"We can't move the wish list item.","අපට කැමති ලැයිස්තු අයිතමය ගෙන යා නොහැක."
"%1 items cannot be moved: %2.","අයිතම %1 ක් ගෙන යා නොහැක: %2."
"We can't move %1 items.","අපට අයිතම %1 ක් ගෙන යා නොහැක."
"%1 items were moved to %2: %3.","අයිතම %1 ක් %2: %3වෙත ගෙන යන ලදී."
"%1 for ""%2""","""%2"" සඳහා %1"
"We can't add the item to shopping cart.","අපට භාණ්ඩය සාප්පු කරත්තයට එක් කළ නොහැක."
"We can't add the following product(s) to shopping cart: %1.","අපට පහත නිෂ්පාදන(ය) සාප්පු කරත්තයට එක් කළ නොහැක: %1."
"Product(s) %1 have required options. Each product can only be added individually.","නිෂ්පාදන(ය) %1 ට අවශ්‍ය විකල්ප ඇත. සෑම නිෂ්පාදනයක්ම එකතු කළ හැක්කේ තනි තනිව පමණි."
"%1 product(s) have been added to shopping cart: %2.","%1 නිෂ්පාදන(ය) සාප්පු කරත්තයට එකතු කර ඇත: %2."
"Please reenter your search options.","කරුණාකර ඔබගේ සෙවුම් විකල්ප නැවත ඇතුලත් කරන්න."
"We could not perform the search.","අපට සෙවීම සිදු කිරීමට නොහැකි විය."
"Owner Name","අයිතිකරුගේ නම"
"Owner Email","හිමිකරු ඊමේල්"
"%1's Wish List","%1ගේ පැතුම් ලැයිස්තුව"
"%1's Wish List (%2)","%1ගේ පැතුම් ලැයිස්තුව (%2)"
"The quantity %quantity is invalid.","%quantity ප්‍රමාණය වලංගු නොවේ."
"The maximum quantity that can be copied for ""%sku"" is %quantity.","""%sku"" සඳහා පිටපත් කළ හැකි උපරිම ප්‍රමාණය %quantity වේ."
"The ""%product"" is already present in ""%wishlist""","""%product"" දැනටමත් ""% කැමැත්ත ලැයිස්තුවේ"" ඇත"
"The maximum quantity that can be moved for ""%sku"" is %quantity.","""%sku"" සඳහා ගෙන යා හැකි උපරිම ප්‍රමාණය %quantity වේ."
"""%product"" is already present in %wishlist.","%පැතුම් ලැයිස්තුවේ දැනටමත් ""%pනිෂ්පාදන"" ඇත."
"We cannot move %product.","අපට %prod චලනය කළ නොහැක."
"Sign in to edit wish lists.","පැතුම් ලැයිස්තු සංස්කරණය කිරීමට පුරන්න."
"The wish list is not assigned to your account and can't be edited.","පැතුම් ලැයිස්තුව ඔබගේ ගිණුමට පවරා නොමැති අතර එය සංස්කරණය කළ නොහැක."
"Provide the wish list name.","පැතුම් ලැයිස්තුවේ නම ලබා දෙන්න."
"Only %1 wish list(s) can be created.","නිර්මාණය කළ හැක්කේ පැතුම් ලැයිස්තුව(ය) %1 ක් පමණි."
"Wish list ""%1"" already exists.","කැමති ලැයිස්තුව ""%1"" දැනටමත් පවතී."
"Test Phrase","පරීක්ෂණ වාක්‍ය ඛණ්ඩය"
"Unknown Magento error","නොදන්නා Magento දෝෂයකි"
InvalidArgumentException,අවලංගුArgumentException
"All Wish Lists","සියලුම පැතුම් ලැයිස්තු"
"Add To Order","ඇණවුමට එකතු කරන්න"
"Configure and Add to Order","වින්‍යාස කර ඇණවුමට එක් කරන්න"
"No items","අයිතම නැත"
"Delete Wish List","පැතුම් ලැයිස්තුව මකන්න"
"Wish List Items","කැමති ලැයිස්තු අයිතම"
"You must select items to add to the cart.","ඔබ කරත්තයට එක් කිරීමට අයිතම තෝරාගත යුතුය."
"Add to:","වෙත එක් කරන්න:"
"Create New Wish List","නව පැතුම් ලැයිස්තුවක් සාදන්න"
"Copy to Wish List","පැතුම් ලැයිස්තුවට පිටපත් කරන්න"
"Wish List Name","පැතුම් ලැයිස්තුවේ නම"
"Wish List","පැතුම් ලැයිස්තුව"
"Create Wish List","පැතුම් ලැයිස්තුවක් සාදන්න"
"Edit Wish List","පැතුම් ලැයිස්තුව සංස්කරණය කරන්න"
"Public Wish List","මහජන කැමැත්ත ලැයිස්තුව"
"Private Wish List","පුද්ගලික කැමැත්ත ලැයිස්තුව"
"Move Selected to Wish List","තෝරාගත් කැමති ලැයිස්තුවට ගෙන යන්න"
"Copy Selected to Wish List","කැමති ලැයිස්තුවට පිටපත් තෝරා ඇත"
"Edit wish list","පැතුම් ලැයිස්තුව සංස්කරණය කරන්න"
"We can't create the Wish List right now.","අපට දැන් පැතුම් ලැයිස්තුව සෑදිය නොහැක."
"Please select items to move.","කරුණාකර ගෙන යාමට අයිතම තෝරන්න."
"Please select items to copy.","කරුණාකර පිටපත් කිරීමට අයිතම තෝරන්න."
"Are you sure you want to delete your wish list? This action can't be undone.","ඔබට ඔබගේ පැතුම් ලැයිස්තුව මැකීමට අවශ්‍ය බව විශ්වාසද? මෙම ක්‍රියාව පසුගමනය කළ නොහැක."
"Wish Lists","පැතුම් ලැයිස්තු"
"Enable Multiple Wish Lists","බහු පැතුම් ලැයිස්තු සබල කරන්න"
"Number of Multiple Wish Lists","බහුවිධ පැතුම් ලැයිස්තු ගණන"
"The number of multiple wish lists should be equal to or more than 2.","බහු පැතුම් ලැයිස්තු ගණන 2 ට සමාන හෝ වැඩි විය යුතුය."
"My Wish Lists Link","මගේ පැතුම් ලැයිස්තු සබැඳිය"
"Display Wish Lists Summary","පැතුම් ලැයිස්තු සාරාංශය පෙන්වන්න"
"Wish List Search Description","කැමති ලැයිස්තු සෙවුම් විස්තරය"
"Wish List Search Template","කැමති ලැයිස්තු සෙවුම් අච්චුව"
"Wish List Quantity","කැමති ලැයිස්තු ප්‍රමාණය"
"Store Quantity","ගබඩා ප්‍රමාණය"
"Surplus / Deficit","අතිරික්තය / හිඟය"
"Product Info","නිෂ්පාදන තොරතුරු"
"Ship to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීම"
"Billing Information - %1","බිල්පත් තොරතුරු - %1"
"Review Order - %1","සමාලෝචන නියෝගය - %1"
"Total for this address","මෙම ලිපිනය සඳහා එකතුව"
"Edit Billing Address","බිල්පත් ලිපිනය සංස්කරණය කරන්න"
"Edit Shipping Address","නැව්ගත කිරීමේ ලිපිනය සංස්කරණය කරන්න"
"Create Billing Address","බිල්පත් ලිපිනය සාදන්න"
"Create Shipping Address","නැව්ගත කිරීමේ ලිපිනය සාදන්න"
"Data saving problem","දත්ත සුරැකීමේ ගැටලුව"
"We are unable to process your request. Please, try again later.","අපට ඔබගේ ඉල්ලීම ක්‍රියාවට නැංවිය නොහැක. කරුණාකර, පසුව නැවත උත්සාහ කරන්න."
"Maximum qty allowed for Shipping to multiple addresses is %1","ලිපින කිහිපයකට නැව්ගත කිරීම සඳහා අවසර දී ඇති උපරිම qty %1වේ"
"We cannot open the overview page.","අපට දළ විශ්ලේෂණය පිටුව විවෘත කළ නොහැක."
"Please agree to all Terms and Conditions before placing the order.","කරුණාකර ඇණවුම ලබා දීමට පෙර සියලුම නියමයන් සහ කොන්දේසි වලට එකඟ වන්න."
"Order place error","ඇණවුම් ස්ථානයේ දෝෂයකි"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","ලිපින කිහිපයකට නැව්ගත කිරීමේදී උපරිම ප්‍රමාණය %1 ට වඩා වැඩි විය නොහැක. ප්‍රමාණය වෙනස් කර නැවත උත්සාහ කරන්න."
"Verify the shipping address information and continue.","නැව්ගත කිරීමේ ලිපින තොරතුරු සත්‍යාපනය කර ඉදිරියට යන්න."
"Verify the billing address information and continue.","බිල්පත් ලිපින තොරතුරු සත්‍යාපනය කර ඉදිරියට යන්න."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","සියලුම ලිපින සඳහා නැව්ගත කිරීමේ ක්‍රම සකසන්න. නැව්ගත කිරීමේ ක්‍රම තහවුරු කර නැවත උත්සාහ කරන්න."
"A payment method isn't defined. Verify and try again.","ගෙවීමේ ක්‍රමයක් නිර්වචනය කර නොමැත. තහවුරු කර නැවත උත්සාහ කරන්න."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","ලිපින කිහිපයකට නැව්ගත කිරීම සඳහා මෙම ගෙවීමේ ක්‍රමය භාවිතා කළ නොහැක. ගෙවීමේ ක්‍රමය වෙනස් කර නැවත උත්සාහ කරන්න."
"The item isn't found, or it's already ordered.","අයිතමය හමු නොවීය, නැතහොත් එය දැනටමත් ඇණවුම් කර ඇත."
"The payment method isn't selected. Enter the payment method and try again.","ගෙවීමේ ක්‍රමය තෝරා නැත. ගෙවීමේ ක්‍රමය ඇතුළත් කර නැවත උත්සාහ කරන්න."
"Some addresses can't be used due to the configurations for specific countries.","විශේෂිත රටවල් සඳහා වින්‍යාස කිරීම් හේතුවෙන් සමහර ලිපින භාවිතා කළ නොහැක."
"Quote address for failed order ID ""%1"" not found.","අසාර්ථක ඇණවුම් හැඳුනුම ""%1"" සඳහා උද්ධෘත ලිපිනය හමු නොවීය."
"Exception for failed order not found.","අසාර්ථක ඇණවුම සඳහා ව්යතිරේකයක් සොයාගත නොහැකි විය."
"Select Addresses","ලිපිනයන් තෝරන්න"
"Shipping Information","නැව්ගත කිරීමේ තොරතුරු"
"Billing Information","බිල්කරණ තොරතුරු"
"Order Success","ඇණවුම සාර්ථකයි"
"Order Results","ඇණවුම් ප්රතිඵල"
"Default Billing","පෙරනිමි බිල්පත්"
"Default Shipping","පෙරනිමි නැව්ගත කිරීම"
"Select Address","ලිපිනය තෝරන්න"
"Back to Billing Information","බිල්පත් තොරතුරු වෙත ආපසු"
"Please select a shipping address for applicable items.","කරුණාකර අදාළ අයිතම සඳහා නැව්ගත කිරීමේ ලිපිනයක් තෝරන්න."
"Send To","වෙත යවන්න"
"A shipping selection is not applicable.","නැව්ගත කිරීමේ තේරීමක් අදාළ නොවේ."
"Go to Shipping Information","නැව්ගත කිරීමේ තොරතුරු වෙත යන්න"
"Update Qty &amp; Addresses","Qty &amp; ලිපින යාවත්කාලීන කරන්න"
"Enter a New Address","නව ලිපිනයක් ඇතුළත් කරන්න"
"Back to Shopping Cart","සාප්පු කරත්තය වෙත නැවත යන්න"
"Go to Review Your Order","Review Your Order වෙත යන්න"
"Back to Shipping Information","නැව්ගත කිරීමේ තොරතුරු වෙත නැවත යන්න"
"Other items in your order","ඔබගේ ඇණවුමේ ඇති අනෙකුත් අයිතම"
"Edit Items","අයිතම සංස්කරණය කරන්න"
"Shipping is not applicable.","නැව්ගත කිරීම අදාළ නොවේ."
"Check Out with Multiple Addresses","ලිපින කිහිපයක් සමඟින් පරීක්ෂා කරන්න"
"Please see","කරුණාකර බලන්න"
"details below","පහත විස්තර"
"Shipping To","වෙත නැව්ගත කිරීම"
"Shipping Method","නැව්ගත කිරීමේ ක්රමය"
"Order Review","ඇණවුම් සමාලෝචනය"
"Grand Total:","මුලු එකතුව:"
"Submitting order information...","ඇණවුම් තොරතුරු ඉදිරිපත් කරමින්..."
"Not all items were included.","සියලුම අයිතම ඇතුළත් කර නැත."
"For details, see","විස්තර සඳහා, බලන්න"
"Failed to Order","ඇණවුම් කිරීමට අසමත් විය"
"section below","පහත කොටස"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","සාර්ථකව ඇණවුම් කළ අයිතම සඳහා, ඔබට ඇණවුම් අංක, ලුහුබැඳීමේ තොරතුරු සහ වැඩි විස්තර ඇතුළුව තහවුරු කිරීමේ විද්‍යුත් තැපෑලක් ලැබෙනු ඇත."
"Successfully Ordered","සාර්ථකව ඇණවුම් කරන ලදී"
"Ship to:","වෙත නැව්ගත කරන්න:"
"No shipping required.","නැව්ගත කිරීම අවශ්ය නොවේ."
"To purchase these items: Return to the","මෙම අයිතම මිලදී ගැනීමට: වෙත ආපසු යන්න"
"Review page in Checkout","Checkout හි පිටුව සමාලෝචනය කරන්න"
"resolve any errors, and place a new order.","ඕනෑම දෝෂයක් විසඳා නව ඇණවුමක් කරන්න."
Error:,දෝෂය:
"Address %1 <span>of %2</span>","ලිපිනය %2</span>න් %1 <span>"
"Sorry, no quotes are available for this order right now.","සමාවන්න, දැන් මෙම ඇණවුම සඳහා උපුටා දැක්වීම් නොමැත."
"Continue to Billing Information","බිල්පත් තොරතුරු වෙත ඉදිරියට යන්න"
"Back to Select Addresses","ලිපින තෝරන්න වෙත ආපසු"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","අයිතම සාර්ථකව ඇණවුම් කිරීම සඳහා, ඔබට ඇණවුම් අංක, ලුහුබැඳීමේ තොරතුරු සහ වැඩි විස්තර ඇතුළුව තහවුරු කිරීමේ විද්‍යුත් තැපෑලක් ලැබෙනු ඇත."
"Successfully ordered","සාර්ථකව ඇණවුම් කර ඇත"
"We can't complete your order because you don't have a payment method set up.","ඔබට ගෙවීමේ ක්‍රමයක් සකසා නොමැති නිසා අපට ඔබේ ඇණවුම සම්පූර්ණ කළ නොහැක."
"Multishipping Settings Section","බහුකාර්ය සැකසුම් අංශය"
"Multishipping Settings","බහුකාර්ය සැකසුම්"
"Allow Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත යැවීමට ඉඩ දෙන්න"
"Maximum Qty Allowed for Shipping to Multiple Addresses","බහුවිධ ලිපින වෙත නැව්ගත කිරීම සඳහා අවසර දී ඇති උපරිම ප්‍රමාණය"
"Review Order","සමාලෝචන නියෝගය"
"We could only complete part of your order.","අපට සම්පූර්ණ කළ හැක්කේ ඔබේ ඇණවුමෙන් කොටසක් පමණි."
"We were unable to complete your order.","අපට ඔබේ ඇණවුම සම්පූර්ණ කිරීමට නොහැකි විය."
"Select Shipping Method","නැව්ගත කිරීමේ ක්‍රමය තෝරන්න"
Quotes,"උපුටා දැක්වීම්"
"Quote #","උපුටා ගැනීම #"
"Created Date","සාදන ලද දිනය"
"Last Updated","අවසන් වරට යාවත්කාලීන කරන ලදී"
"Sales Rep","විකුණුම් නියෝජිත"
"Quote Total (Base)","උපුටා දැක්වීම් එකතුව (පදනම)"
"Quote Total (Negotiated)","උද්ධෘත එකතුව (සාකච්ඡා කළ)"
"Catalog Total Price (Excl. Tax)","නාමාවලිය මුළු මිල (බදු හැර)"
"Catalog Total Price (Incl. Tax)","නාමාවලිය මුළු මිල (බදු ඇතුළුව)"
"Catalog Total Price","නාමාවලිය මුළු මිල"
"Negotiated Discount","සාකච්ඡා කළ වට්ටම්"
"Save as Draft","කෙටුම්පතක් ලෙස සුරකින්න"
Decline,"ප්රතික්ෂේප කරන්න"
